trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
63,False,"{'a': 0.4, 'e': 0.9508490088191223}",25,13,-40.92359469871621,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
64,False,"{'a': 0.4, 'e': 0.9500886338026269}",30,10,-90.21402664370018,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",1
65,False,"{'a': 0.4, 'e': 0.9493288668428895}",20,0,-178.18592659705314,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
66,False,"{'a': 0.4, 'e': 0.9485697074536594}",20,0,-44.39761994166225,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
67,False,"{'a': 0.4, 'e': 0.9478111551490744}",20,0,-86.8255806157074,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
68,False,"{'a': 0.4, 'e': 0.9470532094436611}",25,0,-69.80488727821549,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
69,False,"{'a': 0.4, 'e': 0.9462958698523342}",20,0,-108.12146082726362,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
70,False,"{'a': 0.4, 'e': 0.9455391358903963}",20,0,-121.81326711225476,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
71,False,"{'a': 0.4, 'e': 0.9447830070735376}",20,0,-112.12146738047444,"{0: 12, 1: 5, 2: 0, 3: 1, 4: 2}",0
72,False,"{'a': 0.4, 'e': 0.9440274829178357}",30,0,-166.9694913992816,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
73,False,"{'a': 0.4, 'e': 0.943272562939755}",20,0,-106.69716432669604,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
74,False,"{'a': 0.4, 'e': 0.9425182466561468}",25,0,-132.78312253648784,"{0: 12, 1: 1, 2: 10, 3: 2, 4: 0}",0
75,False,"{'a': 0.4, 'e': 0.9417645335842487}",20,0,-53.04465270403182,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
76,False,"{'a': 0.4, 'e': 0.9410114232416842}",20,0,-76.27099548007695,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
77,False,"{'a': 0.4, 'e': 0.9402589151464628}",20,10,-29.22895981056952,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
78,False,"{'a': 0.4, 'e': 0.939507008816979}",20,0,-57.605232248814666,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
79,False,"{'a': 0.4, 'e': 0.938755703772013}",25,0,-106.10969886210437,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",1
80,False,"{'a': 0.4, 'e': 0.9380049995307295}",20,0,-58.086693527960854,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
81,False,"{'a': 0.4, 'e': 0.9372548956126777}",20,0,-127.69226851675158,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
82,False,"{'a': 0.4, 'e': 0.936505391537791}",25,0,-213.0544329056782,"{0: 13, 1: 1, 2: 6, 3: 2, 4: 3}",0
83,False,"{'a': 0.4, 'e': 0.9357564868263869}",20,0,-70.89235868648414,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
84,False,"{'a': 0.4, 'e': 0.9350081809991664}",20,0,-149.67614843119577,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
85,False,"{'a': 0.4, 'e': 0.9342604735772135}",20,0,-69.79616899603104,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
86,False,"{'a': 0.4, 'e': 0.9335133640819957}",20,10,-18.14944268046021,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 0}",1
87,False,"{'a': 0.4, 'e': 0.9327668520353627}",20,0,-120.81977965939875,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 3}",0
88,False,"{'a': 0.4, 'e': 0.9320209369595469}",25,0,-53.31280140597996,"{0: 20, 1: 0, 2: 3, 3: 2, 4: 0}",0
89,False,"{'a': 0.4, 'e': 0.9312756183771626}",20,0,-41.85890081551588,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
90,False,"{'a': 0.4, 'e': 0.9305308958112057}",25,0,-155.77204986606841,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
91,False,"{'a': 0.4, 'e': 0.929786768785054}",25,10,11.70379744563902,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.4, 'e': 0.929043236822466}",20,13,-9.50125445240211,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
93,False,"{'a': 0.4, 'e': 0.9283002994475813}",25,0,-66.50957279931434,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
94,False,"{'a': 0.4, 'e': 0.92755795618492}",35,27,-30.236161992399992,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
95,False,"{'a': 0.4, 'e': 0.9268162065593822}",35,0,-120.6738796246759,"{0: 18, 1: 7, 2: 9, 3: 1, 4: 0}",0
96,False,"{'a': 0.4, 'e': 0.9260750500962484}",20,0,-128.13099982112405,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
97,False,"{'a': 0.4, 'e': 0.9253344863211781}",20,0,-76.75011937249813,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
98,False,"{'a': 0.4, 'e': 0.9245945147602107}",30,0,-204.4484792660697,"{0: 19, 1: 0, 2: 5, 3: 3, 4: 3}",0
99,False,"{'a': 0.4, 'e': 0.9238551349397642}",25,0,-54.67601320135748,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
100,False,"{'a': 0.4, 'e': 0.9231163463866358}",30,0,-143.30418901940368,"{0: 19, 1: 0, 2: 8, 3: 2, 4: 1}",0
101,False,"{'a': 0.4, 'e': 0.9223781486280005}",20,0,-62.26823090091406,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
102,False,"{'a': 0.4, 'e': 0.9216405411914118}",25,3,-111.05015100232674,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 2}",1
103,False,"{'a': 0.4, 'e': 0.9209035236048009}",20,0,-185.58015723859745,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 4}",0
104,False,"{'a': 0.4, 'e': 0.9201670953964766}",20,0,-63.85211780928066,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
105,False,"{'a': 0.4, 'e': 0.9194312560951247}",25,0,-111.04292772497044,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
106,False,"{'a': 0.4, 'e': 0.9186960052298081}",20,0,-37.41896168756654,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
107,False,"{'a': 0.4, 'e': 0.9179613423299662}",20,0,-6.2366585411515745,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
108,False,"{'a': 0.4, 'e': 0.9172272669254147}",20,0,7.702556198790203,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
109,False,"{'a': 0.4, 'e': 0.9164937785463454}",20,0,-57.28068913582386,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
110,False,"{'a': 0.4, 'e': 0.9157608767233256}",30,0,-205.63860291547178,"{0: 18, 1: 4, 2: 1, 3: 4, 4: 3}",0
111,False,"{'a': 0.4, 'e': 0.9150285609872982}",20,0,-74.73499997172976,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
112,False,"{'a': 0.4, 'e': 0.914296830869581}",25,0,-124.20521225465029,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
113,False,"{'a': 0.4, 'e': 0.9135656859018669}",25,0,-176.0072596986216,"{0: 14, 1: 2, 2: 4, 3: 3, 4: 2}",0
114,False,"{'a': 0.4, 'e': 0.9128351256162228}",25,0,-161.47954235732925,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
115,False,"{'a': 0.4, 'e': 0.9121051495450904}",20,10,-79.02048507458477,"{0: 5, 1: 0, 2: 3, 3: 1, 4: 1}",1
116,False,"{'a': 0.4, 'e': 0.9113757572212847}",30,11,-86.62710511521476,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 2}",1
